错误类型,样本数量,占比
both_wrong,10,0.8%
char_only,1200,94.0%
color_only,67,5.2%
字符'O'错误,134,10.5%
字符'0'错误,74,5.8%
字符'I'错误,74,5.8%
字符'E'错误,61,4.8%
字符'1'错误,54,4.2%
字符'S'错误,47,3.7%
字符'T'错误,44,3.4%
字符'L'错误,42,3.3%
字符'J'错误,41,3.2%
字符'3'错误,33,2.6%
字符'Z'错误,33,2.6%
字符'5'错误,32,2.5%
字符'G'错误,30,2.3%
字符'F'错误,30,2.3%
字符'8'错误,29,2.3%
字符'D'错误,29,2.3%
字符'W'错误,28,2.2%
字符'6'错误,28,2.2%
字符'Q'错误,27,2.1%
字符'C'错误,27,2.1%
字符'9'错误,27,2.1%
字符'N'错误,27,2.1%
字符'2'错误,26,2.0%
字符'B'错误,25,2.0%
字符'P'错误,23,1.8%
字符'U'错误,22,1.7%
字符'K'错误,22,1.7%
字符'Y'错误,21,1.6%
字符'R'错误,20,1.6%
字符'7'错误,20,1.6%
字符'4'错误,16,1.3%
字符'V'错误,15,1.2%
字符'X'错误,14,1.1%
字符'A'错误,14,1.1%
字符'M'错误,12,0.9%
字符'H'错误,9,0.7%
颜色r→u,27,2.1%
颜色u→r,50,3.9%
